input_seq,output_seq,text,metrics
"[1.33, 1.321, 1.315, 1.307, 1.302, 1.289, 1.279, 1.276, 1.273, 1.272, 1.263, 1.253, 1.248, 1.249]","[1.253, 1.242, 1.247]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This sustained drop has been primarily driven by lower crude oil benchmark costs and improved refinery output. Ample fuel inventories have also contributed to the downward pressure on prices. Consumer demand has remained relatively stable, while weather conditions have not significantly disrupted the supply chain. The overall trend has been characterized by a smooth and consistent descent, with minimal week-to-week volatility. The market has recently entered a period of steadiness, showing only mild adjustments after the preceding significant fall.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.299167918245695}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.10712956219469322), 'r2': np.float64(0.9779192603302553), 'diff_z': np.float64(0.17576996243333168)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.07341396021311632}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.1651814104792624}}"
"[1.315, 1.307, 1.302, 1.289, 1.279, 1.276, 1.273, 1.272, 1.263, 1.253, 1.248, 1.249, 1.253, 1.242]","[1.247, 1.25, 1.251]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced downward trend. This sustained decline has been primarily driven by lower crude oil benchmark costs and improved refinery output, which has bolstered supply. Concurrently, fuel inventories have remained ample, while consumer demand has shown typical seasonal patterns. The market has been characterized by low volatility, with prices moving in a smooth and consistent manner. More recently, this downward momentum has abated, and prices have entered a period of relative stability, holding steady with only mild fluctuations. Weather conditions have not significantly disrupted the supply chain during this period.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.4479320310119093}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.18081881587727333), 'r2': np.float64(0.9463027583926216), 'diff_z': np.float64(0.22083918356852317)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.046119026287397495}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.13835707886199264}}"
"[1.302, 1.289, 1.279, 1.276, 1.273, 1.272, 1.263, 1.253, 1.248, 1.249, 1.253, 1.242, 1.247, 1.25]","[1.251, 1.245, 1.239]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This sustained downward trajectory has been primarily driven by lower crude oil benchmark costs and improved refinery operational output, which has bolstered fuel supplies. Concurrently, inventory levels have remained ample, comfortably meeting demand that has held relatively steady. The market has exhibited smooth behavior with low volatility, and recent conditions have stabilized, showing only mild fluctuations. No significant weather-related disruptions to supply chains or refining activity have been reported during this period, contributing to the overall steadying of the market.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.8274652635731523}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'smooth', 'vol_z': np.float64(0.34724445301403717), 'r2': np.float64(0.8644095848341838), 'diff_z': np.float64(0.3237555645312966)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.07194568100694702}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.6475111290616118}}"
"[1.279, 1.276, 1.273, 1.272, 1.263, 1.253, 1.248, 1.249, 1.253, 1.242, 1.247, 1.25, 1.251, 1.245]","[1.239, 1.248, 1.249]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This sustained drop has been primarily driven by lower crude oil benchmarks, as global supply conditions have improved. Concurrently, refinery operations have largely stabilized, contributing to adequate fuel inventories. Consumer demand has remained within typical seasonal bounds, failing to exert significant upward pressure on the market. The overall period has been characterized by low volatility, with prices moving downward in a relatively smooth trajectory, despite some minor daily fluctuations. The market has recently entered a steadier phase, showing little movement as these supply and demand factors have reached a more balanced state.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.811536285347415}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.4898256866627761), 'r2': np.float64(0.7600707967607574), 'diff_z': np.float64(0.39011661482218946)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.2726621501445319}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.8179864504324049}}"
"[1.273, 1.272, 1.263, 1.253, 1.248, 1.249, 1.253, 1.242, 1.247, 1.25, 1.251, 1.245, 1.239, 1.248]","[1.249, 1.26, 1.268]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced decline. This sustained drop has been primarily driven by lower crude oil benchmark costs and improved refinery output, which has bolstered supplies. Concurrently, a mixed but noticeable volatility in the market has been observed, influenced by fluctuating inventory levels and varying regional demand patterns. More recently, a moderate upward shift has emerged, as refinery operational adjustments and seasonal weather-related demand have begun to exert upward pressure on the market, countering the earlier downward trend.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.533098130381887}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'mixed', 'vol_z': np.float64(0.6188865513454964), 'r2': np.float64(0.6169794367691674), 'diff_z': np.float64(0.5559258901350651)}, 'near_term': {'direction': 'rising', 'severity': 'moderate', 'delta_z': 1.5268387123428124}, 'future': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.9339957022979695}}"
"[1.263, 1.253, 1.248, 1.249, 1.253, 1.242, 1.247, 1.25, 1.251, 1.245, 1.239, 1.248, 1.249, 1.26]","[1.268, 1.272, 1.282]","Over the past fourteen weeks, gasoline prices have demonstrated a generally steady trend, punctuated by a period of medium volatility. Market conditions have been influenced by fluctuating crude oil benchmarks and mixed refinery output. Inventory levels have shown some variability, while consumer demand has remained relatively stable. More recently, a significant shift has been observed, with prices beginning a pronounced ascent. This recent upward pressure has been primarily attributed to tightening fuel inventories and strengthening demand, against a backdrop of adjustments in refinery operations.","{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.7457394485817415}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.9445817408026155), 'r2': np.float64(0.05654362420282466), 'diff_z': np.float64(0.8991808830233599)}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 3.4694422198846966}, 'future': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.241793434383668}}"
"[1.248, 1.249, 1.253, 1.242, 1.247, 1.25, 1.251, 1.245, 1.239, 1.248, 1.249, 1.26, 1.268, 1.272]","[1.282, 1.289, 1.287]","Over the past fourteen weeks, gasoline retail prices have followed a moderately rising trajectory. This upward movement has been primarily driven by firming crude oil benchmarks and robust consumer demand. The market has experienced a medium level of volatility, with choppy price action reflecting fluctuating refinery output and adjustments to inventory levels. More recently, a pronounced shift has taken hold, with prices rising at an accelerated pace. This near-term strength has been supported by tightening fuel stockpiles and sustained operational challenges at some refineries. Weather-related disruptions have also intermittently influenced the supply chain, contributing to the overall upward pressure on pump prices during this period.","{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.9172908890946374}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.804075893630506), 'r2': np.float64(0.35346195771703615), 'diff_z': np.float64(0.6032313700118276)}, 'near_term': {'direction': 'rising', 'severity': 'pronounced', 'delta_z': 2.165887871375804}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.5601434150101354}}"
"[1.253, 1.242, 1.247, 1.25, 1.251, 1.245, 1.239, 1.248, 1.249, 1.26, 1.268, 1.272, 1.282, 1.289]","[1.287, 1.287, 1.283]","Over the past fourteen weeks, gasoline retail prices have undergone a pronounced upward trend. This sustained increase has been primarily driven by a confluence of market factors. Global crude benchmarks have experienced significant gains, while refinery operations have faced intermittent challenges, contributing to tighter fuel supplies. Concurrently, inventory levels have tightened in key regions, failing to keep pace with robust consumer and industrial demand. Seasonal weather patterns have also played a role, influencing both driving habits and logistical distribution. The overall price movement has been characterized by a medium level of volatility, with periods of both smooth progression and mixed fluctuations, before recently entering a more steady phase.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.56806939060146}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'mixed', 'vol_z': np.float64(0.6048696302354415), 'r2': np.float64(0.6341327304894603), 'diff_z': np.float64(0.42788732371707333)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.31656704437604366}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.27134318089334897}}"
"[1.247, 1.25, 1.251, 1.245, 1.239, 1.248, 1.249, 1.26, 1.268, 1.272, 1.282, 1.289, 1.287, 1.287]","[1.283, 1.278, 1.274]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a significant and prolonged rally in key global crude oil benchmarks. Concurrently, refinery operations have faced intermittent challenges, contributing to a tightening of regional fuel supplies. Despite these factors, market volatility has remained relatively low, with prices showing a mixed but generally consistent upward path. Consumer demand has held firm, and inventory levels have not been sufficient to counteract the upward pressure from the cost of crude. Recent sessions have shown a stabilization in this trend, with prices holding steady.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.9135143344122474}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.4287094028740073), 'r2': np.float64(0.8162082479100333), 'diff_z': np.float64(0.3023793875763793)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.53953969155785}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.5202704168585768}}"
"[1.251, 1.245, 1.239, 1.248, 1.249, 1.26, 1.268, 1.272, 1.282, 1.289, 1.287, 1.287, 1.283, 1.278]","[1.274, 1.272, 1.287]","Over the past fourteen weeks, gasoline retail prices have experienced a moderate upward trend. This increase has been primarily driven by a sustained rise in global crude oil benchmarks, which has exerted consistent upward pressure on wholesale fuel costs. Refinery operations have remained largely stable, though some regional maintenance has tightened supply. Concurrently, inventory levels have been drawn down, reflecting steady consumer demand. The market has shown low overall volatility, with price movements being relatively smooth despite minor fluctuations. Weather-related disruptions have been limited and have not significantly impacted the supply chain. The overall market conditions have recently entered a steadier phase after the preceding period of increases.","{'past': {'direction': 'rising', 'severity': 'moderate', 'slope_z': 1.976994763832677}, 'fluctuation': {'volatility_level': 'low', 'smoothness': 'mixed', 'vol_z': np.float64(0.30506132023764493), 'r2': np.float64(0.8015221230085696), 'diff_z': np.float64(0.2227955902255106)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.19837963513230106}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.5157870513432162}}"
"[1.239, 1.248, 1.249, 1.26, 1.268, 1.272, 1.282, 1.289, 1.287, 1.287, 1.283, 1.278, 1.274, 1.272]","[1.287, 1.287, 1.284]","Over the past fourteen weeks, gasoline retail prices have exhibited a pronounced upward trajectory. This sustained increase has been primarily driven by a combination of factors in the physical market. Global crude benchmarks have generally firmed, while refinery operations have faced intermittent challenges. Concurrently, gasoline inventories have tightened in key regions, and consumer demand has remained robust. The market has experienced a medium degree of volatility, with prices moving in a choppy pattern throughout this period of overall ascent. More recently, however, price movements have steadied, showing only mild shifts as these market drivers have reached a more balanced state.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.151667416440004}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.6098692427846646), 'r2': np.float64(0.5448049331538619), 'diff_z': np.float64(0.30228013968081185)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.6647155310393918}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.17595411115721793}}"
"[1.249, 1.26, 1.268, 1.272, 1.282, 1.289, 1.287, 1.287, 1.283, 1.278, 1.274, 1.272, 1.287, 1.287]","[1.284, 1.282, 1.28]","Over the past fourteen weeks, gasoline retail prices have experienced a pronounced upward trend. This sustained increase has been primarily driven by a combination of factors. Global crude benchmarks have shown considerable strength, while refinery operations have faced intermittent challenges, contributing to a choppy pricing environment. Concurrently, regional fuel inventories have tightened significantly. Consumer and commercial demand has remained robust throughout this period, further pressuring the supply chain. Unusually cold winter weather has also played a role, occasionally disrupting logistical networks and refining output, which has added to the market's underlying volatility.","{'past': {'direction': 'rising', 'severity': 'pronounced', 'slope_z': 2.013130484250608}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.7812284244131725), 'r2': np.float64(0.38968214911744914), 'diff_z': np.float64(0.4859745972135107)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': 0.0}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.3509816535425667}}"
"[1.268, 1.272, 1.282, 1.289, 1.287, 1.287, 1.283, 1.278, 1.274, 1.272, 1.287, 1.287, 1.284, 1.282]","[1.28, 1.273, 1.27]","Over the past fourteen weeks, gasoline retail prices have demonstrated a generally steady trend, punctuated by a choppy period of medium volatility. This price action has been primarily driven by fluctuating global crude benchmarks and shifting domestic refinery operations. Refinery output has been influenced by both planned maintenance and unplanned outages, while inventory levels have seen corresponding adjustments. Consumer demand has remained relatively stable, though typical seasonal patterns have been a factor. Weather-related disruptions to both refining and logistics have also intermittently impacted the supply chain, contributing to the observed price movements. More recently, these conditions have led to a moderate downward shift in retail prices.","{'past': {'direction': 'steady', 'severity': 'mild', 'slope_z': 0.967840708691143}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.9442248743442009), 'r2': np.float64(0.09175439375292649), 'diff_z': np.float64(0.6687258810902404)}, 'near_term': {'direction': 'falling', 'severity': 'moderate', 'delta_z': -1.4988683541677916}, 'future': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.4988683541655434}}"
"[1.282, 1.289, 1.287, 1.287, 1.283, 1.278, 1.274, 1.272, 1.287, 1.287, 1.284, 1.282, 1.28, 1.273]","[1.27, 1.261, 1.253]","Over the past fourteen weeks, gasoline retail prices have followed a moderate downward trajectory. This decline has been primarily driven by lower crude oil benchmark costs, which have eased as global supply conditions have improved. Concurrently, refinery operations have largely normalized following previous seasonal maintenance, contributing to healthier fuel inventories. Consumer demand has remained stable, failing to exert significant upward pressure on the market. The overall price path has been characterized by a choppy pattern of medium volatility, reflecting these competing supply and demand fundamentals.","{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.0149479998221227}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.7565022358119964), 'r2': np.float64(0.14753943545722736), 'diff_z': np.float64(0.6110770982376343)}, 'near_term': {'direction': 'falling', 'severity': 'pronounced', 'delta_z': -2.5480762020852623}, 'future': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.548076202081441}}"
"[1.287, 1.287, 1.283, 1.278, 1.274, 1.272, 1.287, 1.287, 1.284, 1.282, 1.28, 1.273, 1.27, 1.261]","[1.253, 1.246, 1.25]","Over the past fourteen weeks, gasoline retail prices have experienced a moderate upward trend. This climb has been characterized by choppy, medium-volatility trading, reflecting a complex interplay of market fundamentals. The primary observed drivers have included fluctuating global crude benchmarks, which have faced supply-side pressures. Concurrently, domestic refinery operations have contended with seasonal maintenance schedules and weather-related disruptions, impacting output. These factors have coincided with tightening regional fuel inventories as consumer demand has shown resilience. The combined effect of these supply constraints and steady demand has underpinned the market's general ascent.","{'past': {'direction': 'falling', 'severity': 'moderate', 'slope_z': -1.6862268985018856}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.6851422706127664), 'r2': np.float64(0.36805699368385447), 'diff_z': np.float64(0.48424977598005764)}, 'near_term': {'direction': 'falling', 'severity': 'pronounced', 'delta_z': -2.060943987058012}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.3372453796998803}}"
"[1.283, 1.278, 1.274, 1.272, 1.287, 1.287, 1.284, 1.282, 1.28, 1.273, 1.27, 1.261, 1.253, 1.246]","[1.25, 1.246, 1.248]","Over the past fourteen weeks, gasoline retail prices have exhibited a pronounced downward trend. This decline has been primarily driven by falling global crude oil benchmarks, which have eased supply cost pressures. Concurrently, refinery operations have improved seasonally, bolstering fuel output, while inventories have remained adequate to meet demand. Consumer demand for gasoline has held relatively stable, though choppy weekly price movements have been observed, reflecting a market with medium volatility. The recent period has seen this downward momentum stabilize, with prices holding steady as these market drivers have reached a temporary equilibrium.","{'past': {'direction': 'falling', 'severity': 'pronounced', 'slope_z': -2.315355432280288}, 'fluctuation': {'volatility_level': 'medium', 'smoothness': 'choppy', 'vol_z': np.float64(0.6960830811162565), 'r2': np.float64(0.5154683443402199), 'diff_z': np.float64(0.4261780603373297)}, 'near_term': {'direction': 'steady', 'severity': 'mild', 'delta_z': -0.44102008233911716}, 'future': {'direction': 'steady', 'severity': 'mild', 'slope_z': -0.16538253087692542}}"
